,date,time,code,open,high,low,close,volume,amount
0,2019-01-02,2019-01-02 09:35:00,sh.600519,609.98,612.0,605.0,608.5,1552766,945850400.0
1,2019-01-02,2019-01-02 09:40:00,sh.600519,608.57,610.0,606.15,606.2,395656,240900640.0
2,2019-01-02,2019-01-02 09:45:00,sh.600519,606.0,607.0,603.87,604.15,332316,201314560.0
3,2019-01-02,2019-01-02 09:50:00,sh.600519,604.59,605.0,602.22,604.55,201370,121501600.0
4,2019-01-02,2019-01-02 09:55:00,sh.600519,604.55,605.0,599.0,599.09,361837,217579824.0
5,2019-01-02,2019-01-02 10:00:00,sh.600519,600.0,600.99,599.2,600.01,290913,174563824.0
6,2019-01-02,2019-01-02 10:05:00,sh.600519,600.01,600.97,598.86,600.5,197139,118271248.0
7,2019-01-02,2019-01-02 10:10:00,sh.600519,600.2,600.5,599.52,599.89,141000,84586624.0
8,2019-01-02,2019-01-02 10:15:00,sh.600519,599.7,599.9,596.0,597.5,207238,123840864.0
9,2019-01-02,2019-01-02 10:20:00,sh.600519,597.88,599.5,596.9,598.97,144127,86208736.0
10,2019-01-02,2019-01-02 10:25:00,sh.600519,599.0,599.9,598.87,599.66,51600,30925056.0
11,2019-01-02,2019-01-02 10:30:00,sh.600519,599.68,600.0,599.18,599.82,147300,88340768.0
12,2019-01-02,2019-01-02 10:35:00,sh.600519,599.98,599.98,599.21,599.78,58321,34966832.0
13,2019-01-02,2019-01-02 10:40:00,sh.600519,599.78,599.98,599.0,599.35,59636,35750688.0
14,2019-01-02,2019-01-02 10:45:00,sh.600519,599.35,599.99,599.0,599.91,72300,43357616.0
15,2019-01-02,2019-01-02 10:50:00,sh.600519,599.94,600.08,599.78,599.96,82470,49480560.0
16,2019-01-02,2019-01-02 10:55:00,sh.600519,599.96,599.98,599.8,599.87,67200,40316176.0
17,2019-01-02,2019-01-02 11:00:00,sh.600519,599.89,599.9,599.4,599.4,29101,17449696.0
18,2019-01-02,2019-01-02 11:05:00,sh.600519,599.4,599.5,598.87,599.01,47500,28458784.0
19,2019-01-02,2019-01-02 11:10:00,sh.600519,599.02,599.12,597.18,598.0,68300,40877568.0
20,2019-01-02,2019-01-02 11:15:00,sh.600519,598.0,599.4,597.57,599.4,58664,35101616.0
21,2019-01-02,2019-01-02 11:20:00,sh.600519,599.36,599.95,597.4,598.99,137900,82541264.0
22,2019-01-02,2019-01-02 11:25:00,sh.600519,598.99,599.0,598.25,599.0,27100,16227488.0
23,2019-01-02,2019-01-02 11:30:00,sh.600519,599.0,599.86,599.0,599.86,30059,18018112.0
24,2019-01-02,2019-01-02 13:05:00,sh.600519,599.5,599.9,597.86,598.6,94339,56482608.0
25,2019-01-02,2019-01-02 13:10:00,sh.600519,598.6,599.0,598.59,598.76,45200,27063520.0
26,2019-01-02,2019-01-02 13:15:00,sh.600519,598.76,599.0,597.82,598.3,46800,28018864.0
27,2019-01-02,2019-01-02 13:20:00,sh.600519,598.0,598.0,597.16,597.68,48700,29098080.0
28,2019-01-02,2019-01-02 13:25:00,sh.600519,597.99,599.0,597.51,598.05,41800,25001584.0
29,2019-01-02,2019-01-02 13:30:00,sh.600519,598.5,599.5,598.0,598.66,52500,31433280.0
30,2019-01-02,2019-01-02 13:35:00,sh.600519,598.68,598.7,598.03,598.23,29800,17833312.0
31,2019-01-02,2019-01-02 13:40:00,sh.600519,598.23,598.49,597.7,597.71,31200,18662112.0
32,2019-01-02,2019-01-02 13:45:00,sh.600519,597.7,598.22,597.0,597.0,43777,26170224.0
33,2019-01-02,2019-01-02 13:50:00,sh.600519,597.1,597.1,595.5,595.5,64202,38295920.0
34,2019-01-02,2019-01-02 13:55:00,sh.600519,595.32,596.2,595.01,596.2,54733,32596944.0
35,2019-01-02,2019-01-02 14:00:00,sh.600519,596.2,597.0,596.0,596.5,60352,36008752.0
36,2019-01-02,2019-01-02 14:05:00,sh.600519,596.52,598.18,596.5,597.0,85726,51220096.0
37,2019-01-02,2019-01-02 14:10:00,sh.600519,597.6,599.98,597.3,599.87,131463,78786672.0
38,2019-01-02,2019-01-02 14:15:00,sh.600519,599.9,599.9,599.05,599.5,69540,41704784.0
39,2019-01-02,2019-01-02 14:20:00,sh.600519,599.5,599.9,599.42,599.68,47450,28459296.0
40,2019-01-02,2019-01-02 14:25:00,sh.600519,599.68,599.88,599.43,599.82,57439,34450960.0
41,2019-01-02,2019-01-02 14:30:00,sh.600519,599.85,599.95,599.6,599.62,64700,38808608.0
42,2019-01-02,2019-01-02 14:35:00,sh.600519,599.62,599.65,599.25,599.59,51300,30757664.0
43,2019-01-02,2019-01-02 14:40:00,sh.600519,599.6,599.68,599.2,599.2,51000,30579376.0
44,2019-01-02,2019-01-02 14:45:00,sh.600519,599.01,599.16,598.8,598.98,47150,28242864.0
45,2019-01-02,2019-01-02 14:50:00,sh.600519,598.98,599.0,597.88,597.99,70773,42350176.0
46,2019-01-02,2019-01-02 14:55:00,sh.600519,597.96,599.09,597.88,599.02,90668,54285072.0
47,2019-01-02,2019-01-02 15:00:00,sh.600519,599.02,599.02,598.9,598.98,86224,51646672.0
48,2019-01-03,2019-01-03 09:35:00,sh.600519,599.97,601.66,598.0,600.78,317987,190747704.0
49,2019-01-03,2019-01-03 09:40:00,sh.600519,600.85,600.85,595.97,596.0,86400,51713957.0
50,2019-01-03,2019-01-03 09:45:00,sh.600519,595.97,595.97,592.24,593.01,149300,88590403.0
51,2019-01-03,2019-01-03 09:50:00,sh.600519,593.0,593.3,590.22,593.0,197420,116911072.0
52,2019-01-03,2019-01-03 09:55:00,sh.600519,593.0,597.74,592.89,597.37,95627,56942272.0
53,2019-01-03,2019-01-03 10:00:00,sh.600519,597.37,597.98,595.13,596.63,114700,68479328.0
54,2019-01-03,2019-01-03 10:05:00,sh.600519,596.86,599.8,596.5,599.69,104511,62477536.0
55,2019-01-03,2019-01-03 10:10:00,sh.600519,599.8,600.15,598.5,598.57,119573,71691600.0
56,2019-01-03,2019-01-03 10:15:00,sh.600519,598.58,599.0,598.56,598.8,48700,29161648.0
57,2019-01-03,2019-01-03 10:20:00,sh.600519,598.8,598.88,596.96,597.85,45993,27490464.0
58,2019-01-03,2019-01-03 10:25:00,sh.600519,597.85,597.85,593.72,593.72,49910,29747760.0
59,2019-01-03,2019-01-03 10:30:00,sh.600519,593.9,595.98,593.4,594.86,74802,44447712.0
60,2019-01-03,2019-01-03 10:35:00,sh.600519,594.86,596.38,594.86,595.01,39788,23705840.0
61,2019-01-03,2019-01-03 10:40:00,sh.600519,595.01,595.33,594.11,594.99,32100,19082064.0
62,2019-01-03,2019-01-03 10:45:00,sh.600519,594.99,596.0,594.99,596.0,28800,17149888.0
63,2019-01-03,2019-01-03 10:50:00,sh.600519,595.97,596.15,595.79,595.8,28100,16744560.0
64,2019-01-03,2019-01-03 10:55:00,sh.600519,595.8,595.81,594.31,594.71,47100,28026144.0
65,2019-01-03,2019-01-03 11:00:00,sh.600519,594.71,595.5,593.99,593.99,56300,33492080.0
66,2019-01-03,2019-01-03 11:05:00,sh.600519,593.81,593.81,592.02,592.8,51850,30757616.0
67,2019-01-03,2019-01-03 11:10:00,sh.600519,592.8,592.8,590.01,590.68,91400,54000368.0
68,2019-01-03,2019-01-03 11:15:00,sh.600519,590.73,592.49,590.68,591.73,41400,24498848.0
69,2019-01-03,2019-01-03 11:20:00,sh.600519,591.9,592.0,590.86,592.0,42600,25187120.0
70,2019-01-03,2019-01-03 11:25:00,sh.600519,591.97,592.0,590.13,591.31,60102,35519136.0
71,2019-01-03,2019-01-03 11:30:00,sh.600519,591.31,591.71,590.02,591.06,38521,22751536.0
72,2019-01-03,2019-01-03 13:05:00,sh.600519,591.05,591.05,590.0,590.03,62934,37150800.0
73,2019-01-03,2019-01-03 13:10:00,sh.600519,590.03,590.09,589.84,589.96,39248,23155456.0
74,2019-01-03,2019-01-03 13:15:00,sh.600519,589.96,589.96,587.51,587.56,60940,35878304.0
